year, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, -1, -2, -3, -4, -5, -6, -7, -8, -9, -10, -11, -12, -13, -14, -15, -16, -17, -18, -19, -20, -21, -22, -23, -24, -25, -26, -27, -28, -29, -30, 
1960, 291, 268, 253, 220, 193, 193, 176, 152, 134, 113, 113, 92, 76, 50, 48, 48, 45, 41, 31, 27, 27, 22, 21, 14, 11, 11, 11, 11, 7, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1961, 290, 266, 253, 221, 200, 200, 190, 166, 127, 109, 109, 96, 86, 66, 57, 57, 49, 42, 33, 29, 29, 26, 25, 20, 19, 19, 17, 15, 11, 10, 10, 8, 4, 1, 1, 1, 0, 0, 0, 0, 0, 
1962, 296, 273, 256, 223, 202, 202, 192, 180, 159, 146, 146, 126, 112, 90, 74, 74, 63, 53, 34, 25, 25, 23, 19, 10, 7, 7, 4, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1963, 265, 245, 225, 194, 187, 187, 172, 163, 148, 141, 141, 129, 120, 105, 98, 98, 85, 79, 59, 57, 57, 52, 49, 45, 38, 38, 30, 25, 15, 14, 14, 11, 10, 6, 4, 4, 3, 2, 0, 0, 0, 
1964, 293, 270, 263, 234, 208, 208, 196, 184, 164, 150, 150, 128, 118, 96, 86, 86, 84, 78, 60, 51, 51, 40, 33, 25, 20, 20, 18, 12, 4, 3, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 
1965, 291, 270, 256, 225, 218, 218, 208, 193, 178, 169, 169, 141, 132, 83, 75, 75, 64, 57, 39, 37, 37, 31, 28, 20, 15, 15, 14, 11, 7, 4, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
1966, 267, 241, 225, 202, 185, 185, 178, 161, 137, 123, 123, 98, 80, 64, 53, 53, 46, 41, 29, 23, 23, 17, 15, 5, 4, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1967, 261, 239, 223, 189, 173, 173, 169, 159, 141, 127, 127, 96, 88, 70, 63, 63, 54, 50, 37, 35, 35, 30, 26, 21, 18, 18, 15, 12, 4, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 
1968, 268, 249, 239, 204, 188, 188, 173, 162, 142, 136, 136, 115, 102, 70, 62, 62, 53, 47, 35, 27, 27, 21, 15, 11, 9, 9, 8, 6, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
1973, 273, 251, 242, 226, 217, 206, 194, 179, 171, 147, 133, 119, 106, 82, 66, 54, 45, 36, 32, 20, 14, 14, 10, 5, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1974, 277, 262, 251, 229, 220, 205, 194, 180, 174, 155, 140, 102, 66, 43, 30, 22, 20, 14, 11, 9, 8, 7, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1975, 251, 238, 225, 207, 200, 190, 184, 173, 161, 145, 130, 102, 77, 62, 52, 44, 37, 23, 19, 13, 11, 6, 6, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
1976, 308, 273, 254, 227, 218, 196, 183, 167, 160, 151, 143, 128, 106, 96, 92, 82, 71, 64, 56, 48, 38, 33, 28, 20, 16, 15, 12, 10, 5, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1977, 276, 264, 249, 232, 218, 202, 191, 171, 158, 137, 122, 106, 78, 66, 59, 51, 40, 37, 29, 21, 16, 11, 9, 5, 3, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1978, 310, 293, 269, 249, 239, 216, 199, 180, 167, 156, 145, 108, 96, 80, 68, 59, 54, 42, 37, 30, 27, 22, 14, 13, 11, 6, 5, 4, 3, 2, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 
1979, 286, 259, 248, 234, 221, 215, 200, 191, 176, 160, 142, 119, 108, 93, 83, 70, 61, 50, 37, 35, 32, 28, 24, 18, 16, 10, 7, 5, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1980, 298, 277, 267, 246, 236, 225, 208, 198, 189, 173, 155, 131, 115, 100, 89, 78, 68, 57, 49, 45, 40, 32, 28, 20, 19, 14, 9, 7, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1981, 276, 259, 245, 232, 222, 211, 199, 186, 181, 167, 154, 122, 102, 84, 75, 67, 61, 53, 47, 37, 29, 24, 21, 15, 14, 10, 8, 5, 5, 4, 4, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 
1982, 283, 259, 247, 231, 220, 207, 192, 182, 171, 155, 127, 108, 87, 77, 70, 59, 51, 44, 37, 29, 23, 19, 16, 14, 10, 9, 5, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1983, 270, 252, 236, 222, 208, 194, 184, 169, 152, 140, 122, 99, 83, 72, 60, 47, 44, 39, 33, 26, 20, 19, 15, 13, 10, 6, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1984, 290, 257, 239, 222, 207, 192, 179, 169, 156, 141, 132, 110, 95, 76, 66, 52, 42, 34, 22, 15, 12, 6, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1985, 280, 264, 248, 231, 220, 211, 193, 182, 169, 158, 138, 115, 97, 88, 81, 79, 74, 67, 64, 59, 52, 47, 45, 40, 37, 31, 27, 25, 22, 18, 15, 12, 7, 6, 3, 1, 1, 1, 1, 0, 0, 
1986, 285, 263, 250, 227, 216, 208, 199, 189, 175, 160, 143, 128, 109, 94, 81, 73, 54, 51, 45, 37, 30, 22, 19, 14, 8, 7, 6, 5, 5, 5, 5, 5, 3, 2, 2, 1, 0, 0, 0, 0, 0, 
1987, 298, 279, 260, 241, 221, 203, 186, 167, 157, 141, 124, 106, 95, 85, 77, 76, 73, 69, 69, 67, 62, 51, 44, 38, 31, 23, 22, 20, 17, 13, 11, 10, 8, 6, 6, 2, 2, 2, 0, 0, 0, 
1988, 271, 247, 237, 223, 211, 200, 189, 177, 165, 157, 140, 120, 99, 81, 67, 60, 51, 34, 26, 21, 13, 9, 7, 7, 7, 5, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1989, 277, 259, 243, 218, 194, 168, 151, 141, 130, 119, 107, 91, 75, 61, 44, 33, 24, 17, 13, 10, 5, 4, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1990, 309, 279, 257, 239, 223, 204, 185, 168, 151, 126, 102, 80, 55, 35, 31, 24, 18, 15, 11, 7, 5, 4, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1991, 280, 265, 248, 231, 215, 204, 184, 172, 153, 139, 122, 108, 89, 67, 60, 53, 46, 41, 35, 27, 20, 18, 15, 14, 13, 12, 9, 7, 5, 4, 4, 4, 2, 1, 1, 1, 0, 0, 0, 0, 0, 
1992, 281, 264, 258, 239, 223, 208, 195, 179, 166, 152, 129, 103, 86, 66, 50, 40, 33, 29, 26, 23, 19, 15, 14, 13, 10, 8, 5, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1993, 283, 267, 238, 213, 197, 187, 181, 173, 163, 148, 132, 104, 90, 80, 73, 66, 55, 48, 43, 37, 29, 23, 17, 17, 14, 11, 10, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1994, 280, 258, 244, 230, 217, 203, 193, 180, 167, 147, 128, 103, 74, 54, 40, 35, 25, 20, 16, 15, 11, 9, 7, 6, 6, 5, 4, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
1995, 278, 258, 241, 221, 208, 201, 191, 180, 170, 160, 143, 120, 102, 89, 80, 66, 53, 43, 31, 27, 19, 12, 9, 8, 6, 6, 5, 4, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1996, 281, 263, 248, 228, 211, 193, 180, 166, 161, 151, 142, 128, 113, 100, 91, 84, 79, 69, 58, 52, 47, 41, 34, 32, 26, 24, 19, 15, 15, 11, 9, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
1997, 270, 263, 248, 236, 222, 205, 195, 188, 180, 174, 156, 130, 110, 85, 68, 58, 52, 44, 37, 31, 26, 24, 19, 15, 11, 10, 8, 7, 5, 5, 5, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 
1998, 275, 260, 233, 215, 198, 189, 175, 160, 151, 138, 125, 100, 90, 79, 63, 58, 48, 40, 32, 30, 26, 23, 15, 10, 8, 4, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1999, 267, 254, 237, 230, 216, 202, 191, 177, 163, 146, 127, 107, 95, 80, 61, 40, 34, 22, 18, 13, 10, 8, 7, 7, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2000, 286, 262, 242, 223, 208, 187, 173, 152, 139, 120, 104, 86, 66, 49, 40, 32, 27, 24, 18, 16, 12, 8, 7, 4, 4, 4, 4, 4, 4, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 
2001, 273, 257, 236, 223, 212, 196, 184, 166, 157, 147, 137, 123, 103, 86, 70, 61, 54, 50, 42, 33, 27, 23, 22, 19, 16, 9, 8, 6, 5, 4, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
2002, 267, 253, 234, 219, 204, 191, 175, 161, 148, 137, 117, 99, 83, 63, 56, 49, 44, 38, 31, 31, 25, 22, 20, 18, 18, 17, 12, 12, 7, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2003, 271, 255, 239, 226, 214, 208, 190, 177, 168, 154, 143, 131, 111, 98, 83, 66, 57, 49, 44, 38, 35, 32, 25, 22, 19, 17, 13, 11, 9, 7, 6, 5, 5, 3, 2, 2, 2, 0, 0, 0, 0, 
2004, 299, 278, 267, 241, 214, 192, 177, 166, 147, 135, 120, 101, 82, 69, 59, 49, 47, 42, 36, 31, 27, 24, 18, 14, 13, 11, 7, 6, 5, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2005, 261, 240, 226, 215, 195, 176, 169, 157, 145, 136, 120, 106, 86, 72, 63, 51, 47, 39, 32, 26, 21, 17, 13, 11, 10, 7, 4, 4, 4, 4, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2006, 272, 257, 238, 221, 206, 195, 186, 166, 153, 143, 130, 115, 98, 92, 84, 72, 57, 48, 42, 37, 31, 31, 26, 22, 20, 18, 16, 15, 10, 8, 5, 3, 3, 3, 2, 2, 2, 2, 1, 0, 0, 
2007, 268, 257, 245, 234, 222, 209, 194, 179, 165, 140, 118, 95, 77, 62, 49, 37, 27, 27, 23, 20, 16, 13, 8, 7, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2008, 280, 268, 249, 233, 218, 200, 178, 161, 139, 126, 106, 87, 74, 57, 44, 29, 21, 17, 13, 12, 10, 10, 8, 6, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2009, 284, 269, 256, 244, 220, 203, 184, 171, 159, 136, 120, 91, 76, 62, 53, 48, 44, 41, 35, 30, 26, 16, 16, 14, 10, 6, 5, 5, 5, 5, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
2010, 270, 247, 231, 215, 203, 191, 180, 170, 159, 144, 130, 117, 103, 91, 83, 74, 68, 61, 52, 42, 35, 29, 23, 17, 14, 12, 11, 7, 6, 5, 4, 4, 4, 3, 3, 1, 1, 0, 0, 0, 0, 
2011, 271, 261, 252, 238, 226, 219, 206, 192, 173, 160, 138, 107, 87, 71, 58, 47, 44, 38, 32, 31, 21, 18, 12, 10, 7, 6, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2012, 265, 248, 235, 217, 200, 184, 174, 164, 150, 133, 116, 102, 85, 80, 69, 65, 59, 52, 45, 41, 38, 34, 31, 28, 22, 19, 17, 14, 13, 11, 9, 8, 8, 7, 6, 4, 4, 3, 1, 0, 0, 
2013, 266, 248, 227, 211, 200, 188, 172, 161, 150, 148, 135, 112, 90, 78, 70, 60, 47, 33, 23, 17, 16, 15, 13, 11, 11, 7, 5, 4, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2014, 283, 260, 236, 217, 208, 190, 175, 163, 148, 132, 114, 93, 72, 53, 41, 29, 26, 21, 18, 18, 15, 12, 9, 6, 5, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2015, 273, 256, 239, 232, 218, 203, 192, 179, 163, 145, 123, 95, 79, 57, 40, 29, 19, 12, 8, 5, 4, 4, 3, 3, 3, 3, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2016, 280, 266, 244, 228, 211, 199, 187, 172, 159, 138, 118, 95, 78, 64, 51, 44, 41, 36, 28, 27, 20, 18, 15, 9, 8, 7, 7, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2017, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 35, 34, 28, 27, 26, 24, 21, 19, 19, 18, 17, 13, 10, 9, 9, 8, 8, 8, 5, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
